# file...... output/gpr_SWT_status.csv
# date...... Mon Nov 14 13:40:06 2022
# user...... nathangray
# host...... (null)
# group..... class=switch
# property.. status
# limit..... 10000000
# interval.. 1
# timestamp,switch_2_3,switch_4_5
2021-01-01 00:00:00 EST,CLOSED,CLOSED
2021-01-01 00:00:01 EST,CLOSED,CLOSED
2021-01-01 00:00:02 EST,CLOSED,CLOSED
2021-01-01 00:00:03 EST,CLOSED,CLOSED
2021-01-01 00:00:04 EST,CLOSED,CLOSED
2021-01-01 00:00:05 EST,CLOSED,CLOSED
2021-01-01 00:00:06 EST,CLOSED,CLOSED
2021-01-01 00:00:07 EST,CLOSED,CLOSED
2021-01-01 00:00:08 EST,CLOSED,CLOSED
2021-01-01 00:00:09 EST,CLOSED,CLOSED
2021-01-01 00:00:10 EST,CLOSED,CLOSED
